event_date,location,country,latitude,longitude,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,publication_date,event_year,total_occupants,fatality_rate,serious_injury_rate,destroyed,make_model
2021-06-29,"St. Augustine, FL",United States,029582N,0081211W,Fatal,Destroyed,Airplane,Cessna Aircraft Company,152,No,1,,Instructional,2,0,0,0,VMC,2021-07-14,2021,2,1.0,0.0,1,Cessna Aircraft Company_152
2021-06-29,"Hoxie, AR",United States,003631N,0905830W,Non-Fatal,Substantial,Airplane,Grumman Acft Eng Cor-Schweizer,G-164B,No,1,Turbo Prop,Aerial Application,0,0,0,1,VMC,2021-09-22,2021,1,0.0,0.0,0,Grumman Acft Eng Cor-Schweizer_G-164B
2021-06-29,"North Las Vegas, NV",United States,361236N,1151141W,Non-Fatal,Substantial,Airplane,Beechcraft,95-A55,No,2,Reciprocating,Instructional,0,0,0,2,VMC,2021-09-20,2021,2,0.0,0.0,0,Beechcraft_95-A55
2021-06-30,"Terreton, ID",United States,043513N,0112305W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,150,No,1,Reciprocating,Personal,0,0,2,0,VMC,2021-10-20,2021,2,0.0,0.0,0,Cessna Aircraft Company_150
2021-06-30,"Hastings, MI",United States,042403N,0085219W,Non-Fatal,Substantial,Airplane,Aeronca,15AC,No,1,,Instructional,0,0,0,2,VMC,2021-07-13,2021,2,0.0,0.0,0,Aeronca_15AC
2021-07-01,"Lamoni, IA",United States,403749N,0935410W,Fatal,Destroyed,Airplane,Cirrus Design Corp,SR22,No,1,,Personal,2,0,0,0,VMC,2021-07-08,2021,2,1.0,0.0,1,Cirrus Design Corp_SR22
2021-07-01,"Missoula, MT",United States,465026N,0114179W,Fatal,Substantial,Airplane,Cessna Aircraft Company,172R,No,1,,Personal,2,0,0,0,VMC,2021-08-23,2021,2,1.0,0.0,0,Cessna Aircraft Company_172R
2021-07-01,"Roff, OK",United States,343636N,0964648E,Fatal,Destroyed,Airplane,Beechcraft,35-33,No,1,,Personal,2,0,0,0,,2021-07-15,2021,2,1.0,0.0,1,Beechcraft_35-33
2021-07-01,"Tyler, TX",United States,032210N,0095180W,Non-Fatal,Unknown,Airplane,Cessna Aircraft Company,180J,No,1,Reciprocating,Personal,0,0,0,1,VMC,2021-12-17,2021,1,0.0,0.0,0,Cessna Aircraft Company_180J
2021-07-01,"Talkeetna, AK",United States,623336N,1504612W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-18-150,No,1,Reciprocating,Instructional,0,0,0,2,VMC,2021-12-17,2021,2,0.0,0.0,0,Piper Aircraft_PA-18-150
2021-07-01,"North Pole, AK",United States,064491N,0147250W,Non-Fatal,Destroyed,Airplane,Cessna Aircraft Company,170B,No,1,,Personal,0,0,4,0,VMC,2021-08-02,2021,4,0.0,0.0,1,Cessna Aircraft Company_170B
2021-07-01,"Carrollton, AL",United States,331724N,0008896W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,150,No,1,,Personal,0,0,0,2,,,2021,2,0.0,0.0,0,Cessna Aircraft Company_150
2021-07-02,"Wichita, KS",United States,374722N,0971327W,Non-Fatal,Substantial,Airplane,Piper Aircraft,AEROSTAR 600,No,2,,Personal,0,0,1,0,VMC,2021-07-14,2021,1,0.0,0.0,0,Piper Aircraft_AEROSTAR 600
2021-07-02,"Honolulu, HI",United States,021950N,0158047E,Non-Fatal,Destroyed,Airplane,Boeing,737-275C,No,2,,,0,1,1,0,VMC,2021-08-02,2021,2,0.0,0.5,1,Boeing_737-275C
2021-07-02,"Leogane, OF",Haiti,182855N,0072284W,Fatal,Destroyed,Airplane,Piper Aircraft,PA-32-260,No,1,,,6,0,0,0,VMC,,2021,6,1.0,0.0,1,Piper Aircraft_PA-32-260
2021-07-02,"Fort Lauderdale, FL",United States,261153N,0801029W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,402A,No,2,,,0,0,0,7,VMC,,2021,7,0.0,0.0,0,Cessna Aircraft Company_402A
2021-07-03,"Hoonah, AK",United States,058546N,1352435W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,A185F,No,1,Reciprocating,Personal,0,0,0,2,VMC,2021-12-17,2021,2,0.0,0.0,0,Cessna Aircraft Company_A185F
2021-07-03,"Pottsboro, TX",United States,033462N,0096413W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-28-151,No,1,Reciprocating,Personal,0,0,0,2,VMC,2021-11-30,2021,2,0.0,0.0,0,Piper Aircraft_PA-28-151
2021-07-04,"Lander, WY",United States,424855N,1084343W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,180J,No,1,Reciprocating,Personal,0,0,0,2,VMC,2021-09-20,2021,2,0.0,0.0,0,Cessna Aircraft Company_180J
2021-07-04,"Palmer, AK",United States,061305N,0149558W,Non-Fatal,Substantial,Airplane,Champion,7GCBC,No,1,Reciprocating,Personal,0,1,1,1,VMC,2021-12-17,2021,3,0.0,0.3333333333333333,0,Champion_7GCBC
2021-07-04,"Luneburg, Germany",Germany,531447N,0102441E,Non-Fatal,Substantial,Airplane,Boeing,A75N1(PT17),No,1,,Personal,0,0,0,2,,,2021,2,0.0,0.0,0,Boeing_A75N1(PT17)
2021-07-04,"Talkeetna, AK",United States,621026N,0150351W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-18-150,No,1,Reciprocating,Personal,0,0,0,1,VMC,2021-12-17,2021,1,0.0,0.0,0,Piper Aircraft_PA-18-150
